"rodada","casa","placar","fora","ano"
"1","PAL",NA,"VAS","2020"
"1","GOI",NA,"SAO","2020"
"1","FOR","0 x 2","ATH","2020"
"1","COR","0 x 1","INT","2020"
"1","SPO","3 x 2","CEA","2020"
"1","SAN","1 x 1","RED","2020"
"1","FLA","0 x 1","ATL","2020"
"1","GRE","1 x 0","FLU","2020"
"1","COR",NA,"ATL","2020"
"1","BOT",NA,"BAH","2020"
"2","RED","1 x 1","BOT","2020"
"2","ATL","3 x 2","COR","2020"
"2","ATH","2 x 1","GOI","2020"
"2","BAH","1 x 0","COR","2020"
"2","ATL","3 x 0","FLA","2020"
"2","FLU","1 x 1","PAL","2020"
"2","CEA","1 x 1","GRE","2020"
"2","SAO","1 x 0","FOR","2020"
"2","INT","2 x 0","SAN","2020"
"2","VAS","2 x 0","SPO","2020"
"3","GRE","0 x 0","COR","2020"
"3","COR","0 x 1","FLA","2020"
"3","PAL","1 x 1","GOI","2020"
"3","ATL","2 x 0","CEA","2020"
"3","BAH","2 x 1","RED","2020"
"3","VAS","2 x 1","SAO","2020"
"3","FLU","2 x 1","INT","2020"
"3","ATL","1 x 1","SPO","2020"
"3","FOR","0 x 0","BOT","2020"
"3","SAN","3 x 1","ATH","2020"
"4","FLA","1 x 1","GRE","2020"
"4","RED","2 x 1","FLU","2020"
"4","ATH","0 x 1","PAL","2020"
"4","INT","3 x 0","ATL","2020"
"4","GOI","1 x 3","FOR","2020"
"4","COR","3 x 1","COR","2020"
"4","BOT","2 x 1","ATL","2020"
"4","SPO","0 x 1","SAN","2020"
"4","CEA","0 x 3","VAS","2020"
"4","SAO","1 x 1","BAH","2020"
"5","ATH","0 x 1","FLU","2020"
"5","INT","1 x 0","ATL","2020"
"5","GOI","2 x 0","ATL","2020"
"5","FLA","1 x 1","BOT","2020"
"5","RED","1 x 2","COR","2020"
"5","PAL","2 x 1","SAN","2020"
"5","VAS","0 x 0","GRE","2020"
"5","SPO","0 x 1","SAO","2020"
"5","CEA","2 x 0","BAH","2020"
"5","COR","1 x 1","FOR","2020"
"6","ATL",NA,"ATH","2020"
"6","GRE",NA,"GOI","2020"
"6","BOT","0 x 2","INT","2020"
"6","FLU","2 x 1","VAS","2020"
"6","BAH","1 x 1","PAL","2020"
"6","FOR","3 x 0","RED","2020"
"6","SAO","2 x 1","COR","2020"
"6","COR","1 x 0","SPO","2020"
"6","SAN","0 x 1","FLA","2020"
"6","ATL","0 x 2","CEA","2020"
"7","CEA","1 x 0","FOR","2020"
"7","GOI","1 x 2","COR","2020"
"7","FLU","1 x 1","ATL","2020"
"7","BAH","3 x 5","FLA","2020"
"7","ATH","1 x 1","RED","2020"
"7","BOT","0 x 0","COR","2020"
"7","SAN","2 x 2","VAS","2020"
"7","PAL","1 x 1","INT","2020"
"7","GRE","1 x 2","SPO","2020"
"7","ATL","3 x 0","SAO","2020"
"8","FLA","2 x 1","FOR","2020"
"8","COR","2 x 2","BOT","2020"
"8","CEA","0 x 1","SAN","2020"
"8","RED","1 x 2","PAL","2020"
"8","SAO","3 x 1","FLU","2020"
"8","INT","2 x 2","BAH","2020"
"8","VAS","1 x 0","ATH","2020"
"8","ATL","1 x 1","GRE","2020"
"8","SPO","2 x 1","GOI","2020"
"8","COR","0 x 1","ATL","2020"
"9","ATH","1 x 1","BOT","2020"
"9","FOR","1 x 0","SPO","2020"
"9","GOI","3 x 3","COR","2020"
"9","SAO","1 x 1","RED","2020"
"9","FLU","1 x 2","FLA","2020"
"9","SAN","3 x 1","ATL","2020"
"9","COR","0 x 2","PAL","2020"
"9","INT","2 x 0","CEA","2020"
"9","BAH","0 x 2","GRE","2020"
"9","VAS","1 x 2","ATL","2020"
"10","ATH","1 x 0","COR","2020"
"10","SAN","2 x 2","SAO","2020"
"10","GRE","1 x 1","FOR","2020"
"10","FLU","2 x 1","COR","2020"
"10","ATL","2 x 1","RED","2020"
"10","BAH","0 x 1","ATL","2020"
"10","CEA","2 x 0","FLA","2020"
"10","GOI","1 x 0","INT","2020"
"10","PAL","2 x 2","SPO","2020"
"10","BOT","2 x 3","VAS","2020"
"11","SAO","1 x 0","ATH","2020"
"11","COR","3 x 2","BAH","2020"
"11","FOR","1 x 0","INT","2020"
"11","RED","4 x 2","CEA","2020"
"11","ATL","3 x 4","ATL","2020"
"11","COR","1 x 0","VAS","2020"
"11","GRE","1 x 1","PAL","2020"
"11","BOT","0 x 0","SAN","2020"
"11","SPO","1 x 0","FLU","2020"
"11","FLA",NA,"GOI","2020"
"12","SPO",NA,"COR","2020"
"12","INT",NA,"SAO","2020"
"12","ATH",NA,"BAH","2020"
"12","ATL",NA,"GRE","2020"
"12","VAS",NA,"RED","2020"
"12","PAL",NA,"FLA","2020"
"12","CEA",NA,"GOI","2020"
"12","ATL",NA,"BOT","2020"
"12","SAN",NA,"FOR","2020"
"12","FLU",NA,"COR","2020"
"13","GRE",NA,"INT","2020"
"13","PAL",NA,"CEA","2020"
"13","BAH",NA,"SPO","2020"
"13","RED",NA,"COR","2020"
"13","BOT",NA,"FLU","2020"
"13","COR",NA,"SAO","2020"
"13","FLA",NA,"ATH","2020"
"13","FOR",NA,"ATL","2020"
"13","GOI",NA,"SAN","2020"
"13","ATL",NA,"VAS","2020"
"14","COR",NA,"SAN","2020"
"14","GRE",NA,"COR","2020"
"14","BAH",NA,"VAS","2020"
"14","FLA",NA,"SPO","2020"
"14","GOI",NA,"FLU","2020"
"14","SAO",NA,"ATL","2020"
"14","BOT",NA,"PAL","2020"
"14","FOR",NA,"ATL","2020"
"14","ATH",NA,"CEA","2020"
"14","RED",NA,"INT","2020"
"15","VAS",NA,"FLA","2020"
"15","PAL",NA,"SAO","2020"
"15","COR",NA,"FOR","2020"
"15","ATL",NA,"GOI","2020"
"15","FLU",NA,"BAH","2020"
"15","SAN",NA,"GRE","2020"
"15","SPO",NA,"BOT","2020"
"15","INT",NA,"ATH","2020"
"15","CEA",NA,"COR","2020"
"15","ATL",NA,"RED","2020"
"16","SPO",NA,"INT","2020"
"16","GOI",NA,"BAH","2020"
"16","CEA",NA,"SAO","2020"
"16","ATH",NA,"COR","2020"
"16","GRE",NA,"BOT","2020"
"16","ATL",NA,"FLU","2020"
"16","SAN",NA,"ATL","2020"
"16","PAL",NA,"COR","2020"
"16","VAS",NA,"FOR","2020"
"16","FLA",NA,"RED","2020"
"17","INT",NA,"VAS","2020"
"17","COR",NA,"FLA","2020"
"17","RED",NA,"SPO","2020"
"17","SAO",NA,"GRE","2020"
"17","BOT",NA,"GOI","2020"
"17","COR",NA,"SAN","2020"
"17","BAH",NA,"ATL","2020"
"17","FLU",NA,"CEA","2020"
"17","FOR",NA,"PAL","2020"
"17","ATL",NA,"ATH","2020"
"18","ATL",NA,"PAL","2020"
"18","CEA",NA,"COR","2020"
"18","ATH",NA,"GRE","2020"
"18","BAH",NA,"FOR","2020"
"18","INT",NA,"FLA","2020"
"18","ATL",NA,"SPO","2020"
"18","RED",NA,"GOI","2020"
"18","SAO",NA,"BOT","2020"
"18","VAS",NA,"COR","2020"
"18","FLU",NA,"SAN","2020"
"19","GOI",NA,"VAS","2020"
"19","SPO",NA,"ATH","2020"
"19","COR",NA,"ATL","2020"
"19","GRE",NA,"RED","2020"
"19","COR",NA,"INT","2020"
"19","SAN",NA,"BAH","2020"
"19","PAL",NA,"ATL","2020"
"19","BOT",NA,"CEA","2020"
"19","FLA",NA,"SAO","2020"
"19","FOR",NA,"FLU","2020"
"20","ATL",NA,"COR","2020"
"20","CEA",NA,"SPO","2020"
"20","ATH",NA,"FOR","2020"
"20","BAH",NA,"BOT","2020"
"20","INT",NA,"COR","2020"
"20","ATL",NA,"FLA","2020"
"20","RED",NA,"SAN","2020"
"20","VAS",NA,"PAL","2020"
"20","SAO",NA,"GOI","2020"
"20","FLU",NA,"GRE","2020"
"21","SAN",NA,"INT","2020"
"21","GOI",NA,"ATH","2020"
"21","FOR",NA,"SAO","2020"
"21","COR",NA,"BAH","2020"
"21","SPO",NA,"VAS","2020"
"21","GRE",NA,"CEA","2020"
"21","COR",NA,"ATL","2020"
"21","PAL",NA,"FLU","2020"
"21","BOT",NA,"RED","2020"
"21","FLA",NA,"ATL","2020"
"22","SAO",NA,"VAS","2020"
"22","BOT",NA,"FOR","2020"
"22","FLA",NA,"COR","2020"
"22","COR",NA,"GRE","2020"
"22","RED",NA,"BAH","2020"
"22","INT",NA,"FLU","2020"
"22","SPO",NA,"ATL","2020"
"22","GOI",NA,"PAL","2020"
"22","CEA",NA,"ATL","2020"
"22","ATH",NA,"SAN","2020"
"23","COR",NA,"COR","2020"
"23","ATL",NA,"INT","2020"
"23","FOR",NA,"GOI","2020"
"23","BAH",NA,"SAO","2020"
"23","GRE",NA,"FLA","2020"
"23","ATL",NA,"BOT","2020"
"23","SAN",NA,"SPO","2020"
"23","PAL",NA,"ATH","2020"
"23","VAS",NA,"CEA","2020"
"23","FLU",NA,"RED","2020"
"24","ATL",NA,"GOI","2020"
"24","FOR",NA,"COR","2020"
"24","COR",NA,"RED","2020"
"24","BAH",NA,"CEA","2020"
"24","GRE",NA,"VAS","2020"
"24","ATL",NA,"INT","2020"
"24","SAN",NA,"PAL","2020"
"24","SAO",NA,"SPO","2020"
"24","BOT",NA,"FLA","2020"
"24","FLU",NA,"ATH","2020"
"25","GOI",NA,"GRE","2020"
"25","CEA",NA,"ATL","2020"
"25","ATH",NA,"ATL","2020"
"25","SPO",NA,"COR","2020"
"25","INT",NA,"BOT","2020"
"25","COR",NA,"SAO","2020"
"25","RED",NA,"FOR","2020"
"25","PAL",NA,"BAH","2020"
"25","VAS",NA,"FLU","2020"
"25","FLA",NA,"SAN","2020"
"26","VAS",NA,"SAN","2020"
"26","ATL",NA,"FLU","2020"
"26","FOR",NA,"CEA","2020"
"26","COR",NA,"BOT","2020"
"26","SPO",NA,"GRE","2020"
"26","INT",NA,"PAL","2020"
"26","COR",NA,"GOI","2020"
"26","RED",NA,"ATH","2020"
"26","SAO",NA,"ATL","2020"
"26","FLA",NA,"BAH","2020"
"27","BOT",NA,"COR","2020"
"27","FLU",NA,"SAO","2020"
"27","PAL",NA,"RED","2020"
"27","SAN",NA,"CEA","2020"
"27","GOI",NA,"SPO","2020"
"27","FOR",NA,"FLA","2020"
"27","ATH",NA,"VAS","2020"
"27","BAH",NA,"INT","2020"
"27","GRE",NA,"ATL","2020"
"27","ATL",NA,"COR","2020"
"28","ATL",NA,"SAN","2020"
"28","ATL",NA,"VAS","2020"
"28","CEA",NA,"INT","2020"
"28","COR",NA,"GOI","2020"
"28","SPO",NA,"FOR","2020"
"28","GRE",NA,"BAH","2020"
"28","RED",NA,"SAO","2020"
"28","PAL",NA,"COR","2020"
"28","BOT",NA,"ATH","2020"
"28","FLA",NA,"FLU","2020"
"29","RED",NA,"ATL","2020"
"29","SAO",NA,"SAN","2020"
"29","VAS",NA,"BOT","2020"
"29","FLA",NA,"CEA","2020"
"29","INT",NA,"GOI","2020"
