"posicao","time","pontos","J","V","E","D","GP","GC","SG","CA","CV","aproveitamento"
"1","Atlético - MG","21","10","7","0","3","18","12","6","16","2","70"
"2","Internacional - RS","20","11","6","2","3","15","7","8","27","1","60"
"3","São Paulo - SP","18","10","5","3","2","13","11","2","27","0","60"
"4","Palmeiras - SP","18","10","4","6","0","14","9","5","24","1","60"
"5","Vasco da Gama - RJ","17","10","5","2","3","15","10","5","23","3","56"
"6","Flamengo - RJ","17","10","5","2","3","13","13","0","24","1","56"
"7","Santos - SP","16","11","4","4","3","14","12","2","28","4","48"
"8","Fortaleza - CE","15","11","4","3","4","11","9","2","26","3","45"
"9","Fluminense - RJ","14","11","4","2","5","12","14","-2","26","3","42"
"10","Sport - PE","14","11","4","2","5","11","13","-2","31","2","42"
"11","Ceará - CE","13","11","4","1","6","12","16","-4","28","4","39"
"12","Grêmio - RS","13","10","2","7","1","9","7","2","18","3","43"
"13","Corinthians - SP","12","10","3","3","4","15","16","-1","22","4","40"
"14","Atlético - GO","12","10","3","3","4","12","15","-3","14","2","40"
"15","Athletico Paranaense - PR","11","10","3","2","5","8","10","-2","26","0","36"
"16","Coritiba - PR","11","11","3","2","6","8","12","-4","21","4","33"
"17","Red Bull Bragantino - SP","10","11","2","4","5","14","18","-4","27","3","30"
"18","Botafogo - RJ","10","10","1","7","2","9","11","-2","19","0","33"
"19","Bahia - BA","9","10","2","3","5","12","18","-6","17","2","30"
"20","Goiás - GO","8","8","2","2","4","11","13","-2","25","2","33"
