"rodada","casa","placar","fora","ano"
"1","CUI","0 x 0","BRA","2020"
"1","CON","2 x 2","PAR","2020"
"1","JUV","2 x 1","CRB","2020"
"1","OPE","3 x 1","FIG","2020"
"1","VIT","1 x 0","SAM","2020"
"1","AVA","3 x 1","NAU","2020"
"1","CRU","2 x 1","BOT","2020"
"1","CSA","1 x 0","GUA","2020"
"1","PON","0 x 1","AME","2020"
"1","OES","0 x 0","CHA","2020"
"2","CHA",NA,"CSA","2020"
"2","BOT","2 x 0","CON","2020"
"2","BRA","1 x 1","PON","2020"
"2","SAM","0 x 1","JUV","2020"
"2","GUA","2 x 3","CRU","2020"
"2","PAR","1 x 0","AVA","2020"
"2","NAU","0 x 0","OPE","2020"
"2","AME","0 x 1","CUI","2020"
"2","FIG","0 x 0","VIT","2020"
"2","CRB","1 x 0","OES","2020"
"3","AME","1 x 1","OPE","2020"
"3","PON","3 x 3","VIT","2020"
"3","PAR","3 x 1","JUV","2020"
"3","BOT","0 x 1","GUA","2020"
"3","BRA","1 x 1","OES","2020"
"3","NAU","1 x 1","CRB","2020"
"3","CHA","1 x 0","SAM","2020"
"3","FIG","0 x 1","CRU","2020"
"3","CON","2 x 2","AVA","2020"
"3","CSA","1 x 2","CUI","2020"
"4","SAM",NA,"FIG","2020"
"4","JUV","0 x 0","AME","2020"
"4","AVA","0 x 1","BOT","2020"
"4","OPE","3 x 0","CSA","2020"
"4","OES","1 x 3","PON","2020"
"4","CUI","1 x 0","CON","2020"
"4","CRB","1 x 0","BRA","2020"
"4","GUA","1 x 2","PAR","2020"
"4","VIT","0 x 0","NAU","2020"
"4","CRU","0 x 1","CHA","2020"
"5","BRA",NA,"SAM","2020"
"5","AME","2 x 1","OES","2020"
"5","PON","2 x 1","CSA","2020"
"5","AVA","0 x 2","CUI","2020"
"5","NAU","3 x 3","JUV","2020"
"5","BOT","0 x 1","FIG","2020"
"5","CRB","2 x 2","VIT","2020"
"5","PAR","0 x 0","OPE","2020"
"5","CON","1 x 1","CRU","2020"
"5","CHA","2 x 0","GUA","2020"
"6","OES","0 x 2","AVA","2020"
"6","CUI","2 x 1","CHA","2020"
"6","GUA","1 x 2","NAU","2020"
"6","JUV","0 x 0","BOT","2020"
"6","VIT","1 x 0","PAR","2020"
"6","CRU","1 x 2","AME","2020"
"6","FIG","0 x 0","CON","2020"
"6","SAM","1 x 2","PON","2020"
"6","CSA","0 x 2","CRB","2020"
"6","OPE","2 x 1","BRA","2020"
"7","GUA","1 x 1","OES","2020"
"7","BOT","1 x 1","CUI","2020"
"7","PAR","2 x 1","PON","2020"
"7","CHA","1 x 0","JUV","2020"
"7","NAU","1 x 0","FIG","2020"
"7","CON","1 x 0","VIT","2020"
"7","AME","2 x 1","CSA","2020"
"7","AVA","2 x 0","OPE","2020"
"7","CRB","2 x 2","SAM","2020"
"7","BRA","1 x 0","CRU","2020"
"8","FIG","0 x 1","PAR","2020"
"8","PON","1 x 0","BOT","2020"
"8","OES","1 x 3","JUV","2020"
"8","CSA","1 x 1","CON","2020"
"8","VIT","4 x 2","CUI","2020"
"8","SAM","1 x 0","AME","2020"
"8","OPE","1 x 2","GUA","2020"
"8","BRA","2 x 1","NAU","2020"
"8","CHA","1 x 0","AVA","2020"
"8","CRU","1 x 1","CRB","2020"
"9","JUV","3 x 1","CON","2020"
"9","CUI","0 x 0","FIG","2020"
"9","PAR","0 x 1","AME","2020"
"9","AVA","0 x 1","PON","2020"
"9","CRU","1 x 0","VIT","2020"
"9","GUA","0 x 0","BRA","2020"
"9","SAM","0 x 1","OPE","2020"
"9","NAU","3 x 1","BOT","2020"
"9","OES","2 x 1","CSA","2020"
"9","CRB",NA,"CHA","2020"
"10","PAR","2 x 0","CRB","2020"
"10","JUV","1 x 1","VIT","2020"
"10","CON","1 x 0","GUA","2020"
"10","NAU","1 x 1","CHA","2020"
"10","AME","0 x 1","FIG","2020"
"10","PON","1 x 1","OPE","2020"
"10","CUI","3 x 0","OES","2020"
"10","CSA","3 x 1","CRU","2020"
"10","AVA","2 x 5","SAM","2020"
"10","BOT",NA,"BRA","2020"
"11","SAM",NA,"NAU","2020"
"11","OPE",NA,"CUI","2020"
"11","BOT",NA,"CRB","2020"
"11","CHA",NA,"AME","2020"
"11","CRU",NA,"AVA","2020"
"11","FIG",NA,"GUA","2020"
"11","CSA",NA,"JUV","2020"
"11","VIT",NA,"OES","2020"
"11","BRA",NA,"PAR","2020"
"11","PON",NA,"CON","2020"
"12","CRB",NA,"AME","2020"
"12","AVA",NA,"FIG","2020"
"12","VIT",NA,"CSA","2020"
"12","JUV",NA,"OPE","2020"
"12","OES",NA,"BOT","2020"
"12","PAR",NA,"CHA","2020"
"12","GUA",NA,"SAM","2020"
"12","CUI",NA,"NAU","2020"
"12","CON",NA,"BRA","2020"
"12","CRU",NA,"PON","2020"
"13","FIG",NA,"OES","2020"
"13","OPE",NA,"VIT","2020"
"13","CRB",NA,"AVA","2020"
"13","BOT",NA,"PAR","2020"
"13","AME",NA,"GUA","2020"
"13","NAU",NA,"CON","2020"
"13","BRA",NA,"CHA","2020"
"13","SAM",NA,"CSA","2020"
"13","PON",NA,"JUV","2020"
"13","CUI",NA,"CRU","2020"
"14","OES",NA,"OPE","2020"
"14","CON",NA,"CRB","2020"
"14","CHA",NA,"BOT","2020"
"14","VIT",NA,"AME","2020"
"14","JUV",NA,"CUI","2020"
"14","AVA",NA,"BRA","2020"
"14","CSA",NA,"FIG","2020"
"14","PAR",NA,"NAU","2020"
"14","PON",NA,"GUA","2020"
"14","CRU",NA,"SAM","2020"
"15","OPE",NA,"CON","2020"
"15","VIT",NA,"AVA","2020"
"15","AME",NA,"NAU","2020"
"15","FIG",NA,"CHA","2020"
"15","JUV",NA,"BRA","2020"
"15","CUI",NA,"PON","2020"
"15","GUA",NA,"CRB","2020"
"15","CSA",NA,"PAR","2020"
"15","OES",NA,"CRU","2020"
"15","SAM",NA,"BOT","2020"
"16","NAU",NA,"PON","2020"
