"name","link"
"MAGNETO","https://playcontestofchampions.com/champion-spotlight-magneto/"
"MAGNETO (HOUSE OF X)","https://playcontestofchampions.com/champion-spotlight-magneto-house-of-x/"
"AIR-WALKER","https://playcontestofchampions.com/champion-spotlight-air-walker/"
"PLATINUMPOOL","https://playcontestofchampions.com/champion-spotlight-platinumpool/"
"DRAGON MAN","https://playcontestofchampions.com/champion-spotlight-dragon-man/"
"SASQUATCH","https://playcontestofchampions.com/champion-spotlight-sasquatch/"
"HULKBUSTER","https://playcontestofchampions.com/champion-spotlight-hulkbuster/"
"GUARDIAN","https://playcontestofchampions.com/champion-spotlight-guardian/"
"HIT-MONKEY","https://playcontestofchampions.com/champion-spotlight-hit-monkey/"
"TIGRA","https://playcontestofchampions.com/champion-spotlight-tigra/"
"BLACK WIDOW (DEADLY ORIGIN)","https://playcontestofchampions.com/champion-spotlight-black-widow-deadly-origin/"
"RED GUARDIAN","https://playcontestofchampions.com/champion-spotlight-red-guardian/"
"STORM (PYRAMID X)","https://playcontestofchampions.com/champion-spotlight-storm-pyramid-x/"
"SORCERER SUPREME","https://playcontestofchampions.com/champion-spotlight-sorcerer-supreme/"
"WOLVERINE (WEAPON X)","https://playcontestofchampions.com/champion-spotlight-wolverine-weapon-x/"
"TERRAX","https://playcontestofchampions.com/champion-spotlight-terrax/"
"MOLE MAN","https://playcontestofchampions.com/champion-spotlight-mole-man/"
"MOJO","https://playcontestofchampions.com/champion-spotlight-mojo/"
"Longshot","https://playcontestofchampions.com/champion-spotlight-longshot/"
"Nova","https://playcontestofchampions.com/champion-spotlight-nova/"
"SQUIRREL GIRL","https://playcontestofchampions.com/champion-spotlight-squirrel-girl/"
"Silver Surfer","https://playcontestofchampions.com/champion-spotlight-silver-surfer/"
"Mister Fantastic","https://playcontestofchampions.com/champion-spotlight-mister-fantastic/"
"Doctor Doom","https://playcontestofchampions.com/champion-spotlight-doctor-doom/"
"Guillotine 2099","https://playcontestofchampions.com/champion-spotlight-guillotine-2099/"
"Man-Thing","https://playcontestofchampions.com/champion-spotlight-man-thing/"
"Elsa Bloodstone","https://playcontestofchampions.com/champion-spotlight-elsa-bloodstone-2/"
"Mysterio","https://playcontestofchampions.com/champion-spotlight-mysterio/"
"Spider-Man (Stealth Suit)","https://playcontestofchampions.com/champion-spotlight-spider-man-stealth-suit/"
"INVISIBLE WOMAN","https://playcontestofchampions.com/champion-spotlight-invisible-woman/"
"NAMOR","https://playcontestofchampions.com/champion-spotlight-namor/"
"EBONY MAW","https://playcontestofchampions.com/champion-spotlight-ebony-maw/"
"CULL OBSIDIAN","https://playcontestofchampions.com/champion-spotlight-cull-obsidian/"
"RONIN","https://playcontestofchampions.com/champion-spotlight-ronin/"
"HUMAN TORCH","https://playcontestofchampions.com/champion-spotlight-human-torch/"
"ANNIHILUS","https://playcontestofchampions.com/champion-spotlight-annihilus/"
"NICK FURY","https://playcontestofchampions.com/champion-spotlight-nick-fury/"
"CAPTAIN MARVEL","https://playcontestofchampions.com/champion-spotlight-captain-marvel/"
"MISTER SINISTER","https://playcontestofchampions.com/champion-spotlight-mister-sinister/"
"HAVOK","https://playcontestofchampions.com/champion-spotlight-havok/"
"DIABLO","https://playcontestofchampions.com/champion-spotlight-diablo/"
